6,17,St. Patrick's Day,7.9,"1,097",1,,,,
6,18,New Leads,7.9,"1,053",1,,,,
6,19,Happy Hour,8.6,"1,258",1,,,,
6,20,Secretary's Day,7.9,"1,071",1,,,,
6,21,Body Language,8,"1,092",1,,,,
6,22,The Cover-Up,8.2,"1,094",1,,,,
6,23,The Chump,7.9,"1,046",1,,,,
6,24,Whistleblower,8,"1,092",1,,,,
7,1,Nepotism,8.4,"1,309",1,,,,
7,2,Counseling,8.2,"1,125",1,,,,
7,3,Andy's Play,8.2,"1,222",1,,,,
7,4,Sex Ed,7.9,"1,110",1,,,,
7,5,The Sting,7.9,"1,083",1,,,,
7,6,Costume Contest,8.2,"1,122",1,,,,
7,7,Christening,7.5,"1,141",1,,,,
7,8,Viewing Party,7.9,"1,091",1,,,,
7,9,WUPHF.com,7.8,"1,073",1,,,,
7,10,China,8.2,"1,104",1,,,,
7,11,Classy Christmas,8.8,"1,445",2,,,,
7,12,Ultimatum,8.3,"1,131",1,,,,
7,13,The Seminar,7.7,"1,078",1,,,,
7,14,The Search,8.4,"1,145",1,,,,
7,15,PDA,8.4,"1,157",1,,,,
7,16,Threat Level Midnight,9.2,"2,317",1,,,,
7,17,Todd Packer,7.5,"1,054",1,,,,
7,18,Garage Sale,9.1,"1,845",1,,,,
7,19,Training Day,7.9,"1,118",1,,,,
7,20,Michael's Last Dundies,8.8,"1,441",1,,,,
7,21,"Goodbye, Michael",9.6,"3,566",1,,,,
7,22,The Inner Circle,7.8,"1,092",1,,,,
7,23,"Dwight K. Schrute, (Acting) Manager",8.7,"1,251",1,,,,
7,24,Search Committee,8.8,"1,433",2,,,,
8,1,The List,8.2,"1,264",1,,,,
8,2,The Incentive,8.1,"1,122",1,,,,
8,3,Lotto,7.4,"1,090",1,,,,
8,4,Garden Party,8.1,"1,161",1,,,,
8,5,Spooked,7.6,"1,040",1,,,,
8,6,Doomsday,7.8,981,1,,,,
8,7,Pam's Replacement,7.8,"1,035",1,,,,
8,8,Gettysburg,7,"1,077",1,,,,
8,9,Mrs. California,7.8,"1,028",1,,,,
8,10,Christmas Wishes,8,"1,045",1,,,,
8,11,Trivia,7.9,975,1,,,,
8,12,Pool Party,7.9,"1,050",1,,,,
8,13,Jury Duty,7.5,979,1,,,,
8,14,Special Project,7.8,940,1,,,,
8,15,Tallahassee,7.9,"1,003",1,,,,
8,16,After Hours,8.1,"1,028",1,,,,
8,17,Test the Store,7.9,967,1,,,,
8,18,Last Day in Florida,7.8,931,1,,,,
8,19,Get the Girl,6.9,"1,074",1,,,,
8,20,Welcome Party,7.3,979,1,,,,
8,21,Angry Andy,7.3,"1,042",1,,,,
8,22,Fundraiser,7.1,973,1,,,,
8,23,Turf War,7.8,918,1,,,,
8,24,Free Family Portrait Studio,7.8,972,1,,,,
9,1,New Guys,7.8,"1,059",1,,,,
9,2,Roy's Wedding,7.3,991,1,,,,
9,3,Andy's Ancestry,7.6,966,1,,,,
